"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Login","SUCCESS","2020-05-14T18:47:59.9212459+03:00[Europe/Athens]","0.0","19.06"
"Search by keyword story","Login","SUCCESS","2020-05-14T19:15:16.544846+03:00[Europe/Athens]","0.0","12.31"
