"Story","Title","Result","Date","Stability","Duration (s)"
"Do much stuff","Test scenariu","SUCCESS","2020-05-13T22:49:48.6866069+03:00[Europe/Athens]","0.0","8.73"
"Search by keyword story","Login","SUCCESS","2020-05-13T22:50:28.8448852+03:00[Europe/Athens]","0.0","22.13"
